Method	cvs	DataSet	AUPR	AUC	param
MDMF2A	2	nr1	0.602103	0.836548	{'w':0.9}
MDMF2A	2	gpcr1	0.560669	0.924545	{'w':0.63}
MDMF2A	2	ic1	0.501897	0.826514	{'w':0.52}
MDMF2A	2	e1	0.428018	0.894661	{'w':0.72}
MDMF2A	2	luo	0.48008	0.937435	{'w':0.89}
MDMF2A	3	nr1	0.581561	0.804652	{'w':0.99}
MDMF2A	3	gpcr1	0.787747	0.961256	{'w':0.83}
MDMF2A	3	ic1	0.864587	0.966426	{'w':0.58}
MDMF2A	3	e1	0.737738	0.947941	{'w':0.77}
MDMF2A	3	luo	0.298511	0.901739	{'w':0.8}
MDMF2A	4	nr1	0.2864	0.661029	{'w':0.97}
MDMF2A	4	gpcr1	0.40677	0.886516	{'w':0.52}
MDMF2A	4	ic1	0.355647	0.782899	{'w':0.85}
MDMF2A	4	e1	0.239458	0.826905	{'w':0.79}
MDMF2A	4	luo	0.181964	0.849893	{'w':0.93}
